epoch,accuracy,loss,val_accuracy,val_loss
0,0.7841615080833435,0.5409829020500183,0.7421875,0.6129093766212463
1,0.8229813575744629,0.4021044075489044,0.7447916865348816,0.6238368153572083
2,0.861801266670227,0.34282776713371277,0.7708333134651184,0.5234842896461487
3,0.8866459727287292,0.29360976815223694,0.8046875,0.48277172446250916
4,0.8959627151489258,0.2646143436431885,0.8098958134651184,0.5007491707801819
5,0.888198733329773,0.2667906582355499,0.7864583134651184,0.5326484441757202
6,0.9006211161613464,0.2421754151582718,0.8359375,0.47471949458122253
7,0.8850931525230408,0.25503626465797424,0.8567708134651184,0.42390379309654236
8,0.9052795171737671,0.22624820470809937,0.8567708134651184,0.406894326210022
9,0.9130434989929199,0.21708418428897858,0.8385416865348816,0.444488525390625
