epoch,accuracy,loss,val_accuracy,val_loss
0,0.6397515535354614,0.7753501534461975,0.7161458134651184,0.9199430346488953
1,0.8154761791229248,0.4854469299316406,0.7161458134651184,0.5725162625312805
2,0.8307453393936157,0.39872586727142334,0.7265625,0.5215577483177185
3,0.8586956262588501,0.3399584889411926,0.7578125,0.44802987575531006
4,0.8804348111152649,0.3124682903289795,0.78125,0.44514790177345276
5,0.9083850979804993,0.2696019411087036,0.8463541865348816,0.3607771694660187
6,0.9114906787872314,0.24598468840122223,0.8255208134651184,0.3623509705066681
7,0.9021739363670349,0.23564304411411285,0.8854166865348816,0.29899823665618896
8,0.9254658222198486,0.21521256864070892,0.8723958134651184,0.30999955534935
9,0.9332298040390015,0.1949351280927658,0.8463541865348816,0.3379826247692108
