epoch,accuracy,loss,val_accuracy,val_loss
0,0.8090062141418457,0.4526473879814148,0.7890625,0.43277087807655334
1,0.8975155353546143,0.24186454713344574,0.8671875,0.3114473819732666
2,0.9254658222198486,0.18065737187862396,0.8723958134651184,0.29135727882385254
3,0.9223602414131165,0.178958922624588,0.8802083134651184,0.28145378828048706
4,0.9580745100975037,0.1322658658027649,0.8958333134651184,0.2700483500957489
5,0.9440993666648865,0.14379431307315826,0.8854166865348816,0.26360973715782166
6,0.95652174949646,0.13077424466609955,0.9010416865348816,0.2716886103153229
7,0.9658384919166565,0.10361356288194656,0.8932291865348816,0.2697182297706604
8,0.9611801505088806,0.10772494226694107,0.8984375,0.23933865129947662
9,0.9534161686897278,0.11092156171798706,0.90625,0.23914581537246704
