epoch,accuracy,loss,val_accuracy,val_loss
0,0.802395224571228,0.4534356892108917,0.7573529481887817,0.4981939196586609
1,0.8802395462989807,0.30136242508888245,0.779411792755127,0.4665161073207855
2,0.886227548122406,0.26209157705307007,0.7401960492134094,0.6778074502944946
3,0.910179615020752,0.2224484235048294,0.8308823704719543,0.4127546548843384
4,0.9341317415237427,0.1940673142671585,0.8406862616539001,0.3884966969490051
5,0.9356287717819214,0.18135245144367218,0.8529411554336548,0.3472306430339813
6,0.93113774061203,0.17342522740364075,0.843137264251709,0.40270859003067017
7,0.9416167736053467,0.15816129744052887,0.8578431606292725,0.34126314520835876
8,0.9296407103538513,0.17102192342281342,0.8725489974021912,0.3001701235771179
9,0.955089807510376,0.14002706110477448,0.8799019455909729,0.294573575258255
10,0.955089807510376,0.13584478199481964,0.8651960492134094,0.3057011067867279
11,0.9505987763404846,0.12653601169586182,0.8700980544090271,0.32625770568847656
12,0.9446107745170593,0.13990028202533722,0.8382353186607361,0.45218706130981445
