epoch,accuracy,loss,val_accuracy,val_loss
0,0.8368263244628906,0.3575410544872284,0.8578431606292725,0.3437746465206146
1,0.917664647102356,0.19935137033462524,0.8872548937797546,0.27596285939216614
2,0.938622772693634,0.15593409538269043,0.8921568393707275,0.2769591808319092
3,0.946107804775238,0.138145312666893,0.906862735748291,0.25555965304374695
4,0.9565868377685547,0.1210603415966034,0.906862735748291,0.2694768011569977
5,0.96257483959198,0.10377880185842514,0.9166666865348816,0.2395252138376236
6,0.9730538725852966,0.08930686861276627,0.906862735748291,0.2920285165309906
7,0.970059871673584,0.08524666726589203,0.9191176295280457,0.25240620970726013
8,0.9655688405036926,0.08701203018426895,0.9142156839370728,0.24145852029323578
9,0.9655688405036926,0.08129279315471649,0.9191176295280457,0.2327447533607483
10,0.9805389046669006,0.07063709944486618,0.9166666865348816,0.2358127236366272
