epoch,accuracy,loss,val_accuracy,val_loss
0,0.7994012236595154,0.44769731163978577,0.7990196347236633,0.429915189743042
1,0.863772451877594,0.28489241003990173,0.8210784196853638,0.3971087634563446
2,0.8892215490341187,0.27143600583076477,0.8186274766921997,0.43126145005226135
3,0.8832335472106934,0.2554263472557068,0.8382353186607361,0.3708816170692444
4,0.8952096104621887,0.249819815158844,0.8235294222831726,0.4179042875766754
5,0.9146706461906433,0.22071363031864166,0.8186274766921997,0.4574011564254761
6,0.8907185792922974,0.24057509005069733,0.8529411554336548,0.353587806224823
7,0.9116766452789307,0.21706335246562958,0.8504902124404907,0.35048747062683105
8,0.916167676448822,0.20560793578624725,0.8602941036224365,0.3579578399658203
9,0.9266467094421387,0.19191719591617584,0.8578431606292725,0.3450343906879425
10,0.938622772693634,0.179403617978096,0.8578431606292725,0.3383338749408722
11,0.940119743347168,0.16922403872013092,0.8553921580314636,0.35266661643981934
